x,y
1.1622E+01,1.3011E+01
1.1199E+01,1.1653E+01
1.199E+01,1.3373E+01
1.3744E+01,1.2711E+01
1.469E+01,1.44E+01
1.356E+01,1.1186E+01
1.2109E+01,1.1536E+01
1.1951E+01,1.143E+01
1.2543E+01,1.26E+01
1.2056E+01,1.349E+01
1.3675E+01,1.4898E+01
1.1623E+01,1.2740E+01
1.313E+01,1.2577E+01
1.0505E+01,1.148E+01
1.2196E+01,1.27E+01
1.4117E+01,1.2106E+01
1.2033E+01,1.2810E+01
1.2291E+01,1.2905E+01
1.210E+01,1.3957E+01
1.1112E+01,1.227E+01
1.3219E+01,1.2260E+01
1.2345E+01,1.141E+01
1.2062E+01,1.1828E+01
1.4279E+01,1.2E+01
1.0736E+01,1.3552E+01
1.3508E+01,1.297E+01
1.4176E+01,1.4529E+01
1.2341E+01,1.3503E+01
1.1624E+01,1.1948E+01
1.4E+01,1.3303E+01
1.1546E+01,1.332E+01
1.275E+01,1.1969E+01
1.1523E+01,1.2411E+01
1.4333E+01,1.2168E+01
1.269E+01,1.216E+01
1.3088E+01,1.074E+01
1.2205E+01,1.115E+01
1.421E+01,1.1282E+01
1.2941E+01,1.151E+01
1.2544E+01,1.2940E+01
1.2621E+01,1.3546E+01
1.1973E+01,1.133E+01
1.277E+01,1.1377E+01
1.2173E+01,1.121E+01
1.265E+01,1.0807E+01
1.5834E+01,1.180E+01
1.1975E+01,1.289E+01
1.176E+01,1.2779E+01
1.341E+01,1.3118E+01
1.1994E+01,1.1673E+01
1.2140E+01,1.0980E+01
9.9850628E+00,1.286E+01
1.314E+01,1.2748E+01
1.12E+01,1.2626E+01
1.293E+01,1.1433E+01
1.310E+01,1.0816E+01
1.3254E+01,1.379E+01
1.2264E+01,1.174E+01
1.1564E+01,1.1325E+01
1.2972E+01,1.2866E+01
1.3636E+01,1.29E+01
1.1272E+01,1.2E+01
1.0703E+01,1.2501E+01
1.139E+01,1.1850E+01
1.1759E+01,1.073E+01
1.4125E+01,1.222E+01
9.6353318E+00,1.3361E+01
1.2272E+01,1.1951E+01
1.218E+01,1.169E+01
1.1925E+01,1.3403E+01
1.175E+01,1.1611E+01
1.1496E+01,1.1541E+01
1.378E+01,1.1789E+01
1.2944E+01,1.075E+01
1.168E+01,1.2177E+01
1.1816E+01,1.4776E+01
1.1812E+01,1.2493E+01
1.3224E+01,1.3145E+01
1.2429E+01,1.271E+01
1.2736E+01,1.4451E+01
1.1863E+01,1.3863E+01
1.155E+01,1.223E+01
1.366E+01,1.2163E+01
1.2285E+01,1.2980E+01
1.3523E+01,1.2047E+01
1.2943E+01,1.2045E+01
1.1711E+01,1.3343E+01
1.3810E+01,1.1306E+01
1.2667E+01,1.34E+01
1.3247E+01,1.1765E+01
1.1622E+01,1.1533E+01
1.2360E+01,1.142E+01
1.283E+01,1.128E+01
1.269E+01,1.299E+01
1.2412E+01,1.2303E+01
1.156E+01,1.335E+01
1.3307E+01,1.248E+01
1.184E+01,1.1272E+01
1.185E+01,1.2199E+01
1.2133E+01,1.3876E+01
1.3382E+01,1.2336E+01
1.3239E+01,1.1897E+01
1.1960E+01,1.318E+01
1.265E+01,1.3080E+01
1.2013E+01,1.4161E+01
1.1429E+01,1.2230E+01
1.2186E+01,1.2447E+01
1.3385E+01,1.1967E+01
1.2718E+01,1.0592E+01
1.2531E+01,1.364E+01
1.4304E+01,1.4247E+01
1.1166E+01,1.3138E+01
1.193E+01,1.2485E+01
1.1662E+01,1.1524E+01
1.111E+01,1.1917E+01
1.3759E+01,1.270E+01
1.3931E+01,1.2100E+01
1.2072E+01,1.1916E+01
1.0689E+01,1.2470E+01
1.395E+01,1.417E+01
1.1715E+01,1.3614E+01
1.359E+01,1.423E+01
1.3628E+01,1.2588E+01
1.249E+01,1.2443E+01
1.069E+01,1.4197E+01
1.2572E+01,1.3313E+01
1.3022E+01,1.1473E+01
1.4338E+01,1.4018E+01
1.2224E+01,1.2461E+01
1.2443E+01,1.278E+01
1.335E+01,1.3653E+01
1.2510E+01,9.9707166E+00
1.318E+01,1.1918E+01
1.4029E+01,1.059E+01
1.257E+01,1.2798E+01
1.3646E+01,1.19E+01
1.2839E+01,1.1614E+01
1.233E+01,1.1840E+01
1.305E+01,1.1746E+01
1.20E+01,1.1575E+01
1.3436E+01,1.3876E+01
1.235E+01,1.5E+01
1.3005E+01,1.2478E+01
1.0405E+01,1.3230E+01
1.3344E+01,1.2349E+01
1.1517E+01,1.411E+01
1.1578E+01,1.4021E+01
1.279E+01,1.1511E+01
1.3752E+01,1.3948E+01
1.367E+01,1.2918E+01
1.2448E+01,1.3506E+01
1.3708E+01,1.37E+01
1.474E+01,1.2802E+01
1.1808E+01,1.2980E+01
1.2304E+01,1.243E+01
1.1349E+01,1.3010E+01
1.2007E+01,1.171E+01
1.1645E+01,1.137E+01
1.1493E+01,1.2413E+01
1.4098E+01,1.19E+01
1.356E+01,1.2459E+01
1.1501E+01,1.287E+01
1.2420E+01,1.3119E+01
1.3926E+01,1.126E+01
1.284E+01,1.262E+01
1.3857E+01,1.2284E+01
1.088E+01,1.1409E+01
1.2893E+01,1.2747E+01
1.3083E+01,1.3290E+01
1.1734E+01,1.376E+01
1.4081E+01,1.436E+01
1.2994E+01,1.2369E+01
1.0299E+01,1.325E+01
1.1089E+01,1.2866E+01
1.3736E+01,1.3396E+01
1.253E+01,1.282E+01
1.3712E+01,1.3250E+01
1.2399E+01,1.3370E+01
1.2949E+01,1.3308E+01
1.111E+01,1.3555E+01
1.1954E+01,1.3036E+01
1.2168E+01,1.2968E+01
1.3634E+01,1.313E+01
1.2036E+01,1.351E+01
1.2617E+01,1.2578E+01
1.2514E+01,1.2116E+01
1.185E+01,1.1013E+01
1.3650E+01,1.15E+01
1.3907E+01,1.2721E+01
1.2796E+01,1.405E+01
1.308E+01,1.3785E+01
1.3222E+01,1.3095E+01
1.1228E+01,1.20E+01
1.375E+01,1.3887E+01
1.0517E+01,1.009E+01
1.1494E+01,1.2821E+01
1.192E+01,1.2989E+01
1.2895E+01,1.2535E+01
1.2830E+01,1.26E+01
1.1914E+01,1.2897E+01
1.1174E+01,1.315E+01
1.3063E+01,1.207E+01
1.186E+01,1.2958E+01
1.3108E+01,1.4424E+01
1.302E+01,1.3340E+01
1.3749E+01,1.2016E+01
1.1406E+01,1.3497E+01
1.1726E+01,1.2648E+01
1.2865E+01,1.3505E+01
1.1383E+01,1.1728E+01
1.1831E+01,1.0922E+01
1.24E+01,1.1993E+01
1.2210E+01,1.1380E+01
1.33E+01,1.207E+01
1.1796E+01,1.2437E+01
1.301E+01,1.502E+01
1.1903E+01,1.2689E+01
1.1534E+01,1.183E+01
1.4161E+01,1.2869E+01
1.2405E+01,1.232E+01
1.2338E+01,1.3359E+01
1.1880E+01,1.408E+01
1.209E+01,1.4289E+01
1.3552E+01,1.200E+01
1.1779E+01,1.3434E+01
1.1602E+01,1.337E+01
1.2093E+01,1.3002E+01
1.0912E+01,1.3055E+01
1.2812E+01,1.0750E+01
1.1834E+01,1.141E+01
1.474E+01,1.2010E+01
1.3316E+01,1.064E+01
1.1471E+01,1.2544E+01
1.451E+01,1.192E+01
1.2521E+01,1.1E+01
1.1857E+01,1.1851E+01
1.175E+01,1.1099E+01
1.3E+01,1.1896E+01
1.243E+01,1.241E+01
1.3391E+01,1.3104E+01
1.2580E+01,1.3624E+01
1.2640E+01,1.2974E+01
1.1266E+01,1.23E+01
1.1688E+01,1.3073E+01
1.2053E+01,1.298E+01
1.414E+01,1.3324E+01
1.0727E+01,1.2718E+01
1.1459E+01,1.1720E+01
1.2091E+01,1.2534E+01
1.224E+01,1.256E+01
1.2133E+01,1.0958E+01
1.1133E+01,1.2785E+01
1.4997E+01,1.3001E+01
1.3532E+01,1.2775E+01
1.0521E+01,1.1627E+01
1.239E+01,1.4878E+01
1.4304E+01,1.100E+01
1.3014E+01,1.2732E+01
1.286E+01,1.183E+01
1.3040E+01,1.249E+01
1.2380E+01,1.035E+01
1.1535E+01,1.368E+01
1.3268E+01,1.426E+01
1.4835E+01,1.2455E+01
1.1058E+01,1.3178E+01
1.2803E+01,1.2303E+01
1.3083E+01,1.359E+01
1.3505E+01,1.3286E+01
1.2609E+01,1.179E+01
1.319E+01,1.2012E+01
1.4611E+01,1.446E+01
1.2643E+01,1.3362E+01
1.1104E+01,1.335E+01
1.0776E+01,1.239E+01
1.1705E+01,1.3920E+01
1.3151E+01,1.4793E+01
1.315E+01,9.9516477E+00
1.3284E+01,1.335E+01
1.2108E+01,1.2379E+01
1.0872E+01,1.2781E+01
1.354E+01,1.313E+01
1.272E+01,1.256E+01
1.201E+01,1.3873E+01
1.342E+01,1.199E+01
1.314E+01,1.12E+01
1.1932E+01,1.2667E+01
1.3072E+01,1.046E+01
1.277E+01,1.0901E+01
1.2492E+01,1.1111E+01
1.0358E+01,1.1855E+01
1.148E+01,1.3401E+01
1.1900E+01,1.1414E+01
1.362E+01,1.157E+01
1.2598E+01,1.341E+01
1.2710E+01,1.3501E+01
