x,y
7.5585875E+00,1.4164E+01
6.5944826E+00,1.4095E+01
8.3816789E+00,1.3524E+01
8.0190967E+00,1.2419E+01
1.0050E+01,1.3914E+01
8.3389261E+00,1.267E+01
7.8350575E+00,1.2E+01
7.0457326E+00,8.7011433E+00
7.280562E+00,1.1801E+01
7.6552853E+00,1.214E+01
6.5951419E+00,9.8789117E+00
6.4789658E+00,1.2666E+01
7.0640572E+00,1.1788E+01
8.8382142E+00,1.313E+01
8.5696135E+00,1.4109E+01
8.3737055E+00,1.3220E+01
7.5464892E+00,1.2307E+01
8.3081327E+00,1.0761E+01
8.8915707E+00,1.1231E+01
7.8867803E+00,1.1402E+01
7.8983418E+00,1.4187E+01
9.798099E+00,1.1672E+01
8.2209977E+00,1.2360E+01
6.6714635E+00,1.2262E+01
7.4319458E+00,1.3393E+01
7.5556914E+00,1.2823E+01
7.5593562E+00,1.1007E+01
7.8411231E+00,1.3814E+01
5.869261E+00,1.0806E+01
8.0545295E+00,1.3561E+01
7.2952837E+00,1.2184E+01
7.3246587E+00,1.214E+01
7.1733693E+00,1.2038E+01
7.2294382E+00,1.4107E+01
7.7081526E+00,1.3680E+01
6.2068368E+00,1.199E+01
7.3685513E+00,1.228E+01
6.707482E+00,1.0956E+01
8.2506766E+00,1.199E+01
7.2834247E+00,1.3349E+01
7.8306835E+00,1.3E+01
7.5804039E+00,1.1698E+01
7.2844061E+00,1.3008E+01
8.1414442E+00,1.1020E+01
8.6300813E+00,1.2810E+01
6.1850611E+00,1.22E+01
7.8232434E+00,1.082E+01
6.709784E+00,1.1364E+01
7.1670013E+00,1.2861E+01
7.8238788E+00,1.212E+01
9.1112567E+00,1.2855E+01
7.8175503E+00,1.3335E+01
5.4978424E+00,1.3377E+01
9.8760168E+00,1.305E+01
7.5677117E+00,1.257E+01
7.1703819E+00,1.356E+01
8.1575045E+00,1.1251E+01
9.058747E+00,1.1072E+01
7.4688245E+00,1.3502E+01
8.9043946E+00,1.2798E+01
7.8544304E+00,1.142E+01
6.4618984E+00,1.2445E+01
7.1587526E+00,1.379E+01
7.4162237E+00,1.1803E+01
8.3704628E+00,1.283E+01
8.1576842E+00,1.1199E+01
7.2312015E+00,1.2502E+01
7.5801345E+00,1.1928E+01
7.4466851E+00,1.1700E+01
7.5212597E+00,1.1933E+01
7.2661031E+00,1.2197E+01
8.1269322E+00,1.1504E+01
8.6917613E+00,1.2208E+01
7.168813E+00,1.1906E+01
8.3011383E+00,1.1647E+01
5.9242783E+00,1.010E+01
8.5393965E+00,1.3271E+01
7.7160041E+00,1.0977E+01
6.5820521E+00,1.165E+01
8.3829405E+00,1.2889E+01
6.2173669E+00,1.2011E+01
7.1192598E+00,1.2709E+01
8.0331072E+00,1.1690E+01
7.5028834E+00,1.1803E+01
9.0922749E+00,1.0840E+01
6.8160181E+00,1.3222E+01
7.5653906E+00,1.3809E+01
6.4144231E+00,1.1244E+01
5.6202352E+00,1.2806E+01
7.9572853E+00,1.231E+01
6.8249447E+00,1.3556E+01
5.8513979E+00,1.3779E+01
7.5948682E+00,1.1703E+01
8.4403377E+00,1.3356E+01
