,Augsburg,Muenchen,Landshut,Regensburg,Ingolstadt,Hersbruck,Nuernburg,Fuerth,Erlangen,Bamberg,Lichtenfels,Coburg,Bayreuth,Ansbach,Wuerzburg,Aschaffenburg,Darmstadt,Frankfurt,Mainz,Koblenz,Bonn,Koeln,Duesseldorf,Neuss,Duisburg,Essen,Gelsen-Kirchen,Bochum,Hagen,Dortmund,Muenster,Osnabrueck,Bielefeld,Hannover,Braunschweig,Kassel,Marburg,Giessen,Siegen,Gummersburg,Aachen,Saarbruecken,Kaiserslautern,Mannheim,Karlsruhe,Heilbronn,Stuttgart,Reutlingen,Ulm,Kempten,Freiburg,Offenburg,Fulda,Bremen,Bremen,Oldenburg,Hamburg,Rendsburg,Kiel
Augsburg,0,18.358,32.985,37.643,19.235,40.262,39.319,40.050,44.102,57.000,64.125,69.029,58.052,38.328,57.775,74.653,77.104,84.504,88.391,108.208,126.574,135.882,144.693,145.911,151.212,147.611,149.616,145.427,138.698,140.663,153.951,160.328,146.328,151.251,144.222,114.843,106.550,100.703,116.400,127.613,144.810,101.020,84.534,71.847,64.622,49.930,44.944,42.579,24.000,29.682,76.792,72.339,85.094,181.912,189.447,188.473,195.028,219.666,220.656
Muenchen,18.358,0,23.345,35.468,26.926,48.374,49.244,50.961,54.571,67.912,73.980,79.246,66.189,52.839,73.246,91.967,94.795,101.863,106.217,126.063,144.312,153.444,162.052,163.380,168.505,164.657,166.481,162.265,155.416,157.051,169.812,175.317,161.012,163.487,154.871,128.693,122.589,117.201,133.417,144.693,162.890,119.231,102.883,90.139,82.855,68.264,63.159,60.166,41.000,35.777,92.022,89.443,99.730,195.113,202.704,202.408,206.167,231.037,231.366
Landshut,32.985,23.345,0,16.279,24.698,38.013,41.110,43.863,46.228,58.523,62.610,67.978,53.310,51.039,71.063,93.493,97.617,103.175,109.275,128.798,146.168,154.402,162.111,163.835,168.241,163.600,164.830,160.590,153.483,154.175,165.424,168.929,154.208,152.463,141.760,120.950,119.503,115.434,132.774,144.045,166.355,129.294,111.400,96.799,93.381,76.400,74.431,74.007,56.569,58.249,109.659,104.005,94.366,185.224,192.837,193.706,193.132,218.131,217.589
Regensburg,37.643,35.468,16.279,0,21.190,24.207,28.302,31.385,32.802,43.932,47.170,52.479,37.590,41.110,59.540,83.259,88.023,92.574,99.539,118.533,135.204,142.888,150.083,151.990,156.013,151.030,151.980,147.757,140.584,140.858,151.427,154.201,139.402,136.565,125.575,106.019,106.405,103.005,120.673,131.826,156.080,123.685,105.076,89.627,89.000,71.063,71.449,73.007,58.181,66.528,110.680,102.421,80.623,169.496,177.102,178.239,176.921,201.921,201.326
Ingolstadt,19.235,26.926,24.698,21.190,0,22.023,22.361,24.042,27.659,41.000,47.265,52.469,40.050,27.586,48.166,69.405,73.246,79.202,84.906,104.561,122.201,130.729,138.773,140.357,145.041,140.716,142.215,137.975,130.969,132.136,144.267,149.094,134.648,136.561,128.133,102.044,97.453,92.698,109.622,120.934,142.042,104.924,86.833,72.111,69.354,51.971,51.010,51.971,37.121,48.877,89.493,81.615,73.573,168.244,175.841,175.693,179.360,204.198,204.658
Hersbruck,40.262,48.374,38.013,24.207,22.023,0,5.000,8.062,8.602,20.591,25.710,31.048,18.028,20.100,35.847,60.083,65.253,69.080,76.538,95.079,111.364,118.849,125.925,127.863,131.826,126.823,127.781,123.556,116.387,116.726,127.562,130.920,116.211,115.741,106.532,83.006,82.219,78.816,96.519,107.648,132.503,104.019,85.000,69.029,71.589,53.367,56.859,61.057,51.740,69.080,99.479,88.023,56.586,148.003,155.618,156.080,157.877,182.784,183.003
Nuernburg,39.319,49.244,41.110,28.302,22.361,5.000,0,3.162,5.385,18.682,25.020,30.150,18.974,15.133,31.305,55.362,60.440,64.475,71.784,90.471,106.944,114.586,121.828,123.709,127.801,122.919,123.988,119.754,112.610,113.137,124.326,128.160,113.534,114.285,105.802,80.529,78.518,74.813,92.418,103.600,127.953,99.020,80.000,64.031,66.708,48.508,52.326,56.859,48.600,67.357,95.189,83.385,53.263,146.185,153.792,153.935,157.003,181.838,182.332
Fuerth,40.050,50.961,43.863,31.385,24.042,8.062,3.162,0,4.123,17.117,24.083,29.000,19.235,12.369,28.178,52.202,57.280,61.327,68.622,87.321,103.832,111.517,118.811,120.673,124.808,119.971,121.083,116.846,109.713,110.318,121.659,125.718,111.140,112.539,104.480,78.262,75.664,71.840,89.404,100.603,124.812,96.047,77.006,61.008,64.031,45.880,50.120,55.000,47.707,67.446,93.193,81.025,50.606,144.222,151.822,151.796,155.563,180.347,181.000
Erlangen,44.102,54.571,46.228,32.802,27.659,8.602,5.385,4.123,0,13.342,20.025,25.020,15.264,14.765,27.514,51.923,57.271,60.745,68.411,86.729,102.859,110.277,117.324,119.269,123.223,118.229,119.206,114.978,107.815,108.208,119.206,122.874,108.227,108.931,100.603,75.180,73.661,70.214,87.920,99.045,124.085,97.252,78.160,62.073,66.098,48.104,53.000,58.258,51.624,71.568,96.260,83.630,48.166,140.801,148.408,148.556,151.753,176.567,177.133
Bamberg,57.000,67.912,58.523,43.932,41.000,20.591,18.682,17.117,13.342,0,8.062,12.166,11.000,22.361,23.345,47.011,53.009,54.589,63.198,80.050,94.921,101.553,107.912,110.059,113.534,108.167,108.812,104.623,97.417,97.309,107.517,110.436,95.692,95.603,87.367,62.434,63.246,60.828,78.715,89.554,116.692,96.104,77.130,61.131,68.476,51.614,58.694,65.299,61.847,83.546,101.980,87.658,37.014,127.581,135.192,135.518,138.452,163.248,163.884
Lichtenfels,64.125,73.980,62.610,47.170,47.265,25.710,25.020,24.083,20.025,8.062,0,5.385,9.899,30.414,29.155,51.352,57.559,58.009,67.030,82.735,96.566,102.528,108.259,110.571,113.600,107.912,108.227,104.101,96.897,96.260,105.475,107.299,92.455,90.139,80.895,59.034,63.063,61.685,79.480,89.961,118.600,101.651,82.861,67.067,75.472,59.034,66.483,73.246,69.857,91.220,109.659,95.000,36.674,122.654,130.269,131.126,132.197,157.089,157.407
Coburg,69.029,79.246,67.978,52.479,52.469,31.048,30.150,29.000,25.020,12.166,5.385,0,15.000,34.176,29.682,50.220,56.515,56.143,65.376,80.225,93.392,98.980,104.389,106.775,109.590,103.769,103.942,99.850,92.661,91.810,100.658,102.176,87.321,84.758,75.664,53.907,59.093,58.241,75.895,86.163,115.521,101.193,82.638,67.119,76.609,60.828,68.884,76.026,73.736,95.708,111.732,96.540,32.894,117.273,124.888,125.782,126.921,151.796,152.191
Bayreuth,58.052,66.189,53.310,37.590,40.050,18.028,18.974,19.235,15.264,11.000,9.899,15.000,0,29.000,34.234,58.009,64.008,65.490,74.169,90.802,105.304,111.615,117.618,119.867,123.065,117.478,117.886,113.741,106.532,106.019,115.365,117.154,102.303,99.161,89.051,68.884,72.560,70.774,88.640,99.282,127.201,106.888,87.864,71.805,78.294,60.902,67.007,72.863,66.888,86.331,110.422,96.897,46.141,131.947,139.556,140.656,140.464,165.424,165.387
Ansbach,38.328,52.839,51.039,41.110,27.586,20.100,15.133,12.369,14.765,22.361,30.414,34.176,29.000,0,20.616,42.544,47.011,52.154,58.600,77.897,95.131,103.407,111.288,112.929,117.516,113.137,114.630,110.390,103.392,104.637,117.047,122.540,108.337,113.137,107.019,76.538,70.000,65.115,82.073,93.381,115.486,84.000,65.031,49.163,51.662,33.526,38.275,43.863,39.560,62.290,81.609,68.877,47.011,143.586,151.119,150.217,157.318,181.797,183.134
Wuerzburg,57.775,73.246,71.063,59.540,48.166,35.847,31.305,28.178,27.514,23.345,29.155,29.682,34.234,20.616,0,24.515,30.150,33.242,41.000,59.237,75.664,83.487,91.049,92.801,97.185,92.655,94.069,89.828,82.807,84.024,96.566,102.552,88.600,96.047,92.228,57.871,49.406,44.553,61.717,73.000,96.664,72.780,53.852,37.947,47.011,32.202,41.593,49.769,53.009,78.313,83.096,67.209,27.659,125.132,132.575,131.042,141.032,165.048,167.108
