200,2
0,-1.385,0.2909999999999999
1,2.015,0.1040000000000001
2,1.408,0.2090000000000001
3,1.797,-2.068
4,1.569,-1.289
5,2.447,1.527
6,1.924,-1.193
7,1.416,-2.434
8,0.3490000000000002,-1.644
9,1.761,-0.6499999999999999
10,2.371,1.797
11,-1.579,-1.916
12,0.4849999999999999,-1.269
13,-2.235,1.82
14,0.7610000000000001,1.711
15,-1.727,0.09799999999999986
16,2.166,1.592
17,2.476,-1.04
18,1.497,0.71
19,1.412,0.09799999999999986
20,-1.627,2.459
21,-0.09200000000000008,-0.7909999999999999
22,2.171,-0.2829999999999999
23,-0.6539999999999999,1.905
24,0.4089999999999998,-0.603
25,-0.823,0.9060000000000001
26,2.495,-1.055
27,-1.15,-0.2839999999999998
28,-2.356,-0.3820000000000001
29,-0.6619999999999999,1.84
30,1.371,0.915
31,-0.845,1.149
32,-0.202,-1.965
33,-1.61,1.494
34,1.56,-2.098
35,-1.336,-2.131
36,1.471,-0.04800000000000004
37,-0.992,-2.301
38,-0.774,-2.471
39,-0.6319999999999999,0.3079999999999998
40,2.351,-1.036
41,1.969,-0.125
42,0.2679999999999998,-2.453
43,2.462,-1.797
44,1.752,-1.851
45,-2.232,2.415
46,1.824,2.136
47,0.2570000000000001,-2.399
48,1.129,-1.277
49,-1.75,-0.05500000000000016
50,-2.118,0.4849999999999999
51,2.329,0.7400000000000002
52,-1.419,-1.474
53,-2.454,-0.3519999999999999
54,-2.425,1.429
55,-0.7989999999999999,1.877
56,0.3820000000000001,-0.7330000000000001
57,1.342,-1.58
58,1.15,2.136
59,-1.851,-2.021
60,-0.06899999999999995,0.004999999999999893
61,-1.85,2.122
62,1.694,-1.659
63,1.083,1.428
64,-0.891,0.5089999999999999
65,1.1,1.72
66,0.02700000000000014,1.352
67,-1.094,1.392
68,2.017,-0.1429999999999998
69,0.4260000000000002,-1.438
70,0.9790000000000001,-0.359
71,-2.435,-1.691
72,-0.8440000000000001,1.153
73,1.799,-0.7549999999999999
74,2.346,1.772
75,1.13,1.087
76,0.4569999999999999,-0.00199999999999978
77,-2.019,1.086
78,2.248,-1.631
79,0.5489999999999999,-1.989
80,-2.135,-2.202
81,-0.2839999999999998,-2.454
82,-1.236,-0.1400000000000001
83,-0.772,2.22
84,0.3090000000000002,2.103
85,-0.005999999999999783,-1.233
86,-0.5289999999999999,2.293
87,0.9369999999999998,-0.994
88,-0.371,-1.631
89,-0.08300000000000018,-0.6220000000000001
90,1.871,0.3639999999999999
91,1.192,-0.5069999999999999
92,-2.398,1.541
93,0.202,1.068
94,1.086,-1.769
95,0.367,1.39
96,0.48,0.266
97,1.02,-0.792
98,0.00199999999999978,-0.1259999999999999
99,-0.359,-1.716
100,-1.853,-1.568
101,-0.3900000000000001,0.8330000000000002
102,0.02700000000000014,-0.08199999999999985
103,-1.023,-1.275
104,0.7879999999999998,-1.818
105,-0.3359999999999999,-1.603
106,-1.746,1.365
107,-2.089,1.328
108,-1.761,1.089
109,0.601,-2.31
110,-2.193,-0.992
111,1.122,2.325
112,1.146,1.48
113,0.3639999999999999,1.662
114,1.891,0.4820000000000002
115,-1.75,-1.293
116,1.107,-1.644
117,1.672,-1.299
118,2.427,1.04
119,-0.9450000000000001,1.743
120,-2.257,-2.295
121,-1.273,-0.665
122,2.446,-2.17
123,-1.611,1.953
124,2.252,0.7450000000000001
125,0.9889999999999999,1.272
126,-0.2690000000000001,1.399
127,-1.088,-1.716
128,1.142,2.021
129,-2.198,-1.58
130,0.2490000000000001,-2.495
131,-0.9790000000000001,-0.3260000000000001
132,-0.821,0.5819999999999999
133,2.061,0.274
134,0.6480000000000001,2.224
135,-0.625,-1.098
136,-1.414,-2.402
137,0.2999999999999998,-1.707
138,-0.5680000000000001,-1.57
139,0.944,-2.315
140,-1.556,-0.9119999999999999
141,-0.8220000000000001,0.8650000000000002
142,0.8199999999999998,0.6560000000000001
143,-0.9650000000000001,-0.552
144,0.9369999999999998,2.21
145,-1.079,-0.2850000000000001
146,0.8679999999999999,1.187
147,-2.387,0.08700000000000019
148,0.4689999999999999,-0.7010000000000001
149,-2.127,-0.6739999999999999
150,1.131,-2.157
151,-0.7669999999999999,1.572
152,2.127,-0.831
153,2.001,0.1440000000000001
154,-1.433,-0.732
155,0.887,1.025
156,1.88,-1.658
157,-1.505,-0.4449999999999998
158,-0.2879999999999998,1.565
159,0.5680000000000001,-2.429
160,1.182,-2.016
161,0.3530000000000002,1.106
162,0.4289999999999998,0.2050000000000001
163,1.501,-0.758
164,0.003000000000000114,-0.06599999999999984
165,1.234,0.2709999999999999
166,-0.101,1.575
167,0.7290000000000001,-0.01200000000000001
168,-2.279,0.988
169,0.1560000000000001,-1.924
170,-0.3809999999999998,-0.554
171,-1.431,0.448
172,-0.0129999999999999,1.824
173,2.428,1.461
174,-1.194,1.339
175,-1.714,2.115
176,-1.374,-1.427
177,1.113,-1.587
178,-0.1890000000000001,-2.18
179,2.305,1.348
180,-1.566,-0.829
181,1.7,0.4540000000000002
182,2.163,2.029
183,-1.152,-1.312
184,0.6070000000000002,-1.474
185,-1.699,-0.696
186,-2.317,-0.03399999999999981
187,-2.345,-1.303
188,1.925,-1.062
189,0.0219999999999998,1.33
190,-0.218,-0.6379999999999999
191,-0.6619999999999999,0.375
192,1.926,0.3530000000000002
193,0.54,-1.981
194,-1.089,-1.523
195,-0.6519999999999999,1.01
196,1.855,-2.205
197,-1.625,-0.5129999999999999
198,-0.08800000000000008,-2.325
199,1.228,-2.335
