,ATL,MSY,MIA,DCA,JFK,BOS,ORD,DEN,LAX,SFO,SEA
ATL,0,424,605,542,751,934,586,1210,1942,2142,2188
MSY,424,0,669,964,1173,1356,831,1080,1679,1929,2109
MIA,605,669,0,922,1092,1252,1188,1724,2345,2597,2739
DCA,542,964,922,0,209,392,602,1499,2314,2455,2350
JFK,751,1173,1092,209,0,183,727,1646,2474,2597,2443
BOS,934,1356,1252,392,183,0,861,1783,2619,2726,2532
ORD,586,831,1188,602,727,861,0,922,1759,1870,1752
DEN,1210,1080,1724,1499,1646,1783,922,0,845,956,1031
LAX,1942,1679,2345,2314,2474,2619,1759,845,0,354,996
SFO,2142,1929,2597,2455,2597,2726,1870,956,354,0,714
SEA,2188,2109,2739,2350,2443,2532,1752,1031,996,714,0
