id,v0,v1,v2,v3,v4
\string0,6.995000000000001,2.131,-4.202000000000002,23.912,-13.275
\string1,22.911,-20.432,4.321000000000002,-6.876000000000001,-18.579
\string2,-19.921,-22.153,-5.734999999999999,14.216,-2.460999999999999
\string3,-17.116,6.530999999999999,12.891,-20.067,8.968000000000004
\string4,-10.196,-1.696999999999999,-19.79,-5.074999999999999,-12.692
\string5,21.21,-23.965,17.747,24.761,2.645
\string6,-16.294,-23.625,24.15,17.43,-23.847
\string7,-5.353999999999999,3.655999999999999,13.385,23.648,-15.169
\string8,-3.437999999999999,-23.37,-3.202999999999999,13.444,15.498
\string9,19.17,0.411999999999999,21.572,-4.236999999999998,7.137999999999998
\string10,1.683,1.300999999999998,7.494999999999997,-3.065000000000001,0.1050000000000004
\string11,-8.484999999999999,-9.352,-12.826,4.074000000000002,15.427
\string12,3.030000000000001,22.109,24.764,0.2609999999999992,-18.924
\string13,-24.478,-19.763,-12.231,-6.989000000000001,-15.517
\string14,14.97,11.855,14.995,-15.16,-15.466
\string15,20.523,-5.969999999999999,-17.611,6.995999999999999,-13.669
\string16,-9.531000000000001,-1.271000000000001,17,22.376,-10.053
\string17,6.736999999999998,12.069,4.699000000000002,-11.026,6.193000000000001
\string18,-24.976,23.806,4.725000000000001,-17.398,3.036000000000001
\string19,23.748,2.219000000000001,-13.334,8.673000000000002,1.196000000000002
\string20,23.65,13.867,-19.237,-13.392,-7.986999999999998
\string21,-12.597,13.07,12.461,-0.1829999999999998,-14.952
\string22,-20.419,-13.806,14.189,12.449,4.774999999999999
\string23,22.4,0.338000000000001,4.373000000000001,7.543999999999997,-3.329000000000001
\string24,3.978999999999999,0.8030000000000008,10.934,0.6039999999999992,2.524999999999999
\string25,-17.909,-9.573,-19.411,17.002,21.061
\string26,1.597999999999999,-7.370999999999999,-4.209,10.5,2.463999999999999
\string27,6.786000000000001,4.686,8.941000000000003,12.694,-5.829000000000001
\string28,2.242999999999999,6.43,2.132000000000001,-15.352,17.271
\string29,5.408000000000001,14.648,8.170999999999999,10.135,12.285
\string30,7.060000000000002,-8.986999999999998,20.556,22.558,-17.969
\string31,7.331000000000003,-18.802,-22.149,8.043999999999997,0.7409999999999997
\string32,5.073,-3.827999999999999,-21.581,13.701,2.867000000000001
\string33,19.419,-7.021000000000001,-14.317,19.954,-15.703
\string34,10.802,0.9409999999999989,5.789000000000001,9.468000000000004,-9.645
\string35,24.171,-15.959,-18.795,-23.593,-2.943000000000001
\string36,10.486,17.652,-17.577,-7.611999999999998,-0.6980000000000004
\string37,9.673000000000002,5.952000000000002,-2.062999999999999,-18.61,1.472999999999999
\string38,-14.932,-20.681,-10.133,-23.956,-23.217
\string39,-17.638,16.445,22.432,13.347,9.223999999999997
\string40,-1.922000000000001,23.183,23.09,10.14,-4.516999999999999
\string41,-12.923,-11.862,7.814,-12.896,-16.297
\string42,0.3829999999999991,-11.042,4.689,-23.313,-0.4400000000000013
