ATL,0,934,585,542,1209,1942,605,751,2181,2139,424
BOS,934,0,853,392,1769,2601,1252,183,2492,2700,1356
ORD,585,853,0,594.4739293498576,916.8958943097925,1748.069670990173,1185.886338377082,717.4030551014895,1732.075981542959,1855.727686004459,830.4508985991043
DCA,542,392,594.4739293498576,0,1488.94974626247,2301.352421951365,922.376824526713,209,2321.130849327589,2436.8390678086,964.3682557831903
DEN,1209,1769,916.8958943097925,1488.94974626247,0,837.2073966665666,1728.440238222027,1632.536980768282,1033.552984876566,949.5704809250146,1082.006367498921
LAX,1942,2601,1748.069670990173,2301.352421951365,837.2073966665666,0,2358.109486919741,2457.881423736253,1010.198061112145,355.6798411622282,1684.797677321211
MIA,605,1252,1185.886338377082,922.376824526713,1728.440238222027,2358.109486919741,0,1093.006607631208,2740.806389812437,2605.937759094641,674.3721928636226
JFK,751,183,717.4030551014895,209,1632.536980768282,2457.881423736253,1093.006607631208,0,2405.801986018691,2573.067417023538,1173.141302682655
SEA,2181,2492,1732.075981542959,2321.130849327589,1033.552984876566,1010.198061112145,2740.806389812437,2405.801986018691,0,723.8162838070618,2112.029480422259
SFO,2139,2700,1855.727686004459,2436.8390678086,949.5704809250146,355.6798411622282,2605.937759094641,2573.067417023538,723.8162838070618,0,1932.969224589727
MSY,424,1356,830.4508985991043,964.3682557831903,1082.006367498921,1684.797677321211,674.3721928636226,1173.141302682655,2112.029480422259,1932.969224589727,0
