100,4
0,2.132,-2.124,-1,-1.195
1,-1.647,-1.461,-1.324,2.293
2,0.254,-0.206,-1.06,-1.679
3,-1.848,0.361,-0.804,1.018
4,-1.245,1.906,0.092,-1.376
5,2.232,0.358,-0.414,2.231
6,0.855,-1.441,1.099,0.114
7,-1.401,2.148,-1.905,-1.23
8,0.942,1.46,-1.504,1.391
9,0.485,1.726,-2.287,1.274
10,-1.149,1.555,0.205,1.94
11,-0.294,0.359,2.424,-0.255
12,-0.784,0.05,-1.238,-0.181
13,-0.154,1.759,-0.263,-1.899
14,-0.438,-0.537,0.735,1.684
15,-2.191,-1.484,1.028,0.599
16,-1.955,-1.668,-1.412,2.462
17,-1.751,-0.513,2.358,1.889
18,-0.298,-2.292,-2.313,-1.157
19,-1.504,0.783,-1.755,-0.207
20,2.284,-1.54,-0.843,0.391
21,-0.273,0.268,-0.95,0.371
22,0.082,1.032,-0.876,-1.003
23,1.353,2.131,0.893,-1.605
24,2.466,0.539,0.933,-1.422
25,-2.271,-0.34,-1.1,-1.944
26,-1.079,2.239,-0.651,-0.72
27,0.538,0.059,-1.51,0.149
28,-1.157,-0.555,-0.004,2.206
29,-0.07,-0.634,-1.524,1.562
30,-0.735,-1.887,-2.307,1.15
31,-1.374,0.373,-2.039,-1.768
32,2.066,2.094,2.38,2.086
33,1.516,-0.214,1.473,1.497
34,-1.141,-0.704,-2.31,1.584
35,-1.644,-0.339,1.115,0.848
36,-0.48,0.577,0.109,-2
37,1.141,-0.842,2.186,1.033
38,1.005,-0.161,-1.676,-1.588
39,-1.719,-2.082,0.197,1.101
40,1.695,-1.683,0.888,0.879
41,-0.683,-2.125,-0.548,-0.7
42,-0.916,-1.494,-2.436,-2.338
43,-0.381,0.318,2.107,-0.612
44,-2.247,-2.373,1.047,2.085
45,0.098,-1.829,-0.603,-1.257
46,-2.009,-2.479,-2.43,1.702
47,1.925,0.983,1.756,-0.952
48,-1.527,-1.418,-1.88,0.584
49,1.751,1.735,0.971,-1.944
50,-0.14,1.745,0.2,-0.292
51,1.832,0.354,-2.179,-2.475
52,1.704,0.789,0.829,1.122
53,-1.11,0.299,1.134,-0.975
54,-1.34,2.421,-0.317,0.031
55,0.117,2.095,2.124,-0.038
56,-0.165,-1.8,-1.874,1.94
57,-2.28,0.982,1.423,2.484
58,-0.916,-2.289,-1.634,-2.029
59,1.307,-0.095,1.743,1.449
60,0.429,0.752,-2.397,1.118
61,-2.131,-1.914,-0.486,2.168
62,0.508,0.208,0.373,0.03
63,-1.872,-0.402,-0.082,-1.572
64,-1.594,-0.646,2.309,2.345
65,-2.227,-2.437,-0.669,-1.649
66,-0.764,-1.811,0.146,0.429
67,-1.885,2.003,-0.095,1.926
68,2.369,-0.493,-2.201,1.482
69,-1.827,-1.445,-1.692,-0.382
70,-0.798,-0.149,0.789,0.674
71,0.751,-1.395,-0.092,0.686
72,0.843,0.56,1.848,0.555
73,0.948,1.937,0.981,-1.344
74,-1.712,0.534,-2.29,1.198
75,-1.543,-1.671,-1.63,1.194
76,-2.288,1.522,-1.842,1.295
77,-0.864,1.957,1.895,2.202
78,0.483,2.077,-0.416,-0.707
79,0.554,0.535,-0.716,0.819
80,-2.407,2.05,0.028,-0.024
81,-0.179,-0.108,1.57,-1.608
82,1.151,2.357,-1.513,-0.044
83,1.924,-1.99,0.64,1.787
84,-0.861,0.92,-1.556,0.557
85,-0.353,-2.275,-1.624,-0.411
86,2.105,0.197,-2.383,-0.811
87,0.872,1.864,1.274,0.657
88,2.416,-0.172,-0.625,0.431
89,-0.788,-2.278,1.169,0.405
90,-0.794,-1.4,0.718,0.457
91,-0.608,-1.533,-0.096,-1.647
92,2.151,-0.593,-1.503,-2.068
93,-1.213,2.073,-1.592,-0.069
94,2.041,-2.003,1.569,-1.867
95,1.995,1.403,0.34,-0.752
96,-0.265,0.178,-1.214,-2.453
97,0.037,0.589,-1.446,0.933
98,0.045,-1.321,1.613,-1.712
99,-1.687,-1.109,-1.28,-1.826
